fly_time:0.0293, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:0.0472, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:0.067, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:0.0872, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:0.1077, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:0.1298, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:0.1477, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0141
fly_time:0.1678, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:0.1887, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:0.2079, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0146
fly_time:0.2315, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0146
fly_time:0.2479, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
fly_time:0.2685, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0152
fly_time:0.2875, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0152
fly_time:0.3086, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0139
fly_time:0.3295, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0138
fly_time:0.3498, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:0.3686, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:0.3882, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
fly_time:0.4085, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
fly_time:0.4298, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:0.4487, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.016
fly_time:0.4684, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0162
fly_time:0.4875, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0158
fly_time:0.5094, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:0.5365, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0156
fly_time:0.5487, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0156
fly_time:0.5684, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0158
fly_time:0.5886, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:0.6083, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0164
fly_time:0.6312, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0165
fly_time:0.6488, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:0.668, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:0.6881, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0141
fly_time:0.7083, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0135
fly_time:0.7301, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0133
fly_time:0.7487, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0134
fly_time:0.7684, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0133
fly_time:0.7881, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0139
fly_time:0.8089, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0139
fly_time:0.8308, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:0.849, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:0.8689, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0133
fly_time:0.8895, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0132
fly_time:0.9088, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.9999
fly_time:0.9306, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.017
fly_time:0.9489, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.017
fly_time:0.9681, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.016
fly_time:0.9881, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:1.0083, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0147
fly_time:1.0326, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0146
fly_time:1.0482, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:1.069, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:1.0884, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:1.1088, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:1.1308, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:1.15, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
fly_time:1.1687, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
